CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
88.9762,0.0,18.1,0.0,0.6709999999999999,6.968,91.9,1.4165,24.0,666.0,20.2,396.9,17.21,10.4
0.15875999999999998,0.0,10.81,0.0,0.413,5.961,17.5,5.2873,4.0,305.0,19.2,376.94,9.88,21.7
1.6286399999999999,0.0,21.89,0.0,0.624,5.019,100.0,1.4394,4.0,437.0,21.2,396.9,34.41,14.4
0.82526,20.0,3.97,0.0,0.647,7.327000000000001,94.5,2.0788,5.0,264.0,13.0,393.42,11.25,31.0
9.92485,0.0,18.1,0.0,0.74,6.251,96.6,2.198,24.0,666.0,20.2,388.52,16.44,12.6
0.04011,80.0,1.52,0.0,0.40399999999999997,7.287000000000001,34.1,7.309,2.0,329.0,12.6,396.9,4.08,33.3
0.31533,0.0,6.2,0.0,0.504,8.266,78.3,2.8944,8.0,307.0,17.4,385.05,4.14,44.8
1.8002799999999999,0.0,19.58,0.0,0.605,5.877000000000001,79.2,2.4259,5.0,403.0,14.7,227.61,12.14,23.8
0.07977999999999999,40.0,6.41,0.0,0.447,6.482,32.1,4.1403,4.0,254.0,17.6,396.9,7.19,29.1
10.232999999999999,0.0,18.1,0.0,0.614,6.185,96.7,2.1705,24.0,666.0,20.2,379.7,18.03,14.6
3.32105,0.0,19.58,1.0,0.871,5.403,100.0,1.3216,5.0,403.0,14.7,396.9,26.82,13.4
2.01019,0.0,19.58,0.0,0.605,7.928999999999999,96.2,2.0459,5.0,403.0,14.7,369.3,3.7,50.0
8.98296,0.0,18.1,1.0,0.77,6.212000000000001,97.4,2.1222,24.0,666.0,20.2,377.73,17.6,17.8
4.55587,0.0,18.1,0.0,0.718,3.5610000000000004,87.9,1.6132,24.0,666.0,20.2,354.7,7.12,27.5
0.08244,30.0,4.93,0.0,0.428,6.481,18.5,6.1899,6.0,300.0,16.6,379.41,6.36,23.7
0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9
3.7749800000000002,0.0,18.1,0.0,0.655,5.952000000000001,84.7,2.8715,24.0,666.0,20.2,22.01,17.15,19.0
0.09252,30.0,4.93,0.0,0.428,6.606,42.2,6.1899,6.0,300.0,16.6,383.78,7.37,23.3
0.24522,0.0,9.9,0.0,0.544,5.782,71.7,4.0317,4.0,304.0,18.4,396.9,15.94,19.8
8.71675,0.0,18.1,0.0,0.693,6.471,98.8,1.7257,24.0,666.0,20.2,391.98,17.12,13.1
0.18159,0.0,7.38,0.0,0.493,6.376,54.3,4.5404,5.0,287.0,19.6,396.9,6.87,23.1
7.022589999999999,0.0,18.1,0.0,0.718,6.006,95.3,1.8746,24.0,666.0,20.2,319.98,15.7,14.2
11.0874,0.0,18.1,0.0,0.718,6.4110000000000005,100.0,1.8589,24.0,666.0,20.2,318.75,15.02,16.7
1.15172,0.0,8.14,0.0,0.5379999999999999,5.7010000000000005,95.0,3.7872,4.0,307.0,21.0,358.77,18.35,13.1
8.20058,0.0,18.1,0.0,0.713,5.936,80.3,2.7792,24.0,666.0,20.2,3.5,16.94,13.5
0.2896,0.0,9.69,0.0,0.585,5.39,72.9,2.7986,6.0,391.0,19.2,396.9,21.14,19.7
0.10612,30.0,4.93,0.0,0.428,6.095,65.1,6.3361,6.0,300.0,16.6,394.62,12.4,20.1
9.82349,0.0,18.1,0.0,0.6709999999999999,6.794,98.8,1.358,24.0,666.0,20.2,396.9,21.24,13.3
0.21038,20.0,3.33,0.0,0.4429,6.812,32.2,4.1007,5.0,216.0,14.9,396.9,4.85,35.1
0.16439,22.0,5.86,0.0,0.431,6.433,49.1,7.8265,7.0,330.0,19.1,374.71,9.52,24.5
1.6128200000000001,0.0,8.14,0.0,0.5379999999999999,6.096,96.9,3.7598,4.0,307.0,21.0,248.31,20.34,13.5
0.44178,0.0,6.2,0.0,0.504,6.5520000000000005,21.4,3.3751,8.0,307.0,17.4,380.34,3.76,31.5
0.5405,20.0,3.97,0.0,0.575,7.47,52.6,2.872,5.0,264.0,13.0,390.3,3.16,43.5
0.24103000000000002,0.0,7.38,0.0,0.493,6.082999999999999,43.7,5.4159,5.0,287.0,19.6,396.9,12.79,22.2
9.72418,0.0,18.1,0.0,0.74,6.406000000000001,97.2,2.0651,24.0,666.0,20.2,385.96,19.52,17.1
0.04297,52.5,5.32,0.0,0.405,6.565,22.9,7.3172,6.0,293.0,16.6,371.72,9.51,24.8
0.015009999999999999,90.0,1.21,1.0,0.401,7.922999999999999,24.8,5.885,1.0,198.0,13.6,395.52,3.16,50.0
0.01432,100.0,1.32,0.0,0.41100000000000003,6.816,40.5,8.3248,5.0,256.0,15.1,392.9,3.95,31.6
14.4383,0.0,18.1,0.0,0.597,6.852,100.0,1.4655,24.0,666.0,20.2,179.36,19.78,27.5
13.0751,0.0,18.1,0.0,0.58,5.712999999999999,56.7,2.8237,24.0,666.0,20.2,396.9,14.76,20.1
11.8123,0.0,18.1,0.0,0.718,6.824,76.5,1.794,24.0,666.0,20.2,48.45,22.74,8.4
0.02187,60.0,2.93,0.0,0.401,6.8,9.9,6.2196,1.0,265.0,15.6,393.37,5.03,31.1
0.08187,0.0,2.89,0.0,0.445,7.82,36.9,3.4952,2.0,276.0,18.0,393.53,3.57,43.8
0.19186,0.0,7.38,0.0,0.493,6.431,14.7,5.4159,5.0,287.0,19.6,393.68,5.08,24.6
23.6482,0.0,18.1,0.0,0.6709999999999999,6.38,96.2,1.3861,24.0,666.0,20.2,396.9,23.69,13.1
9.39063,0.0,18.1,0.0,0.74,5.627000000000001,93.9,1.8172,24.0,666.0,20.2,396.9,22.88,12.8
0.12932000000000002,0.0,13.92,0.0,0.43700000000000006,6.678,31.1,5.9604,4.0,289.0,16.0,396.9,6.27,28.6
7.75223,0.0,18.1,0.0,0.713,6.301,83.7,2.7831,24.0,666.0,20.2,272.21,16.23,14.9
0.09512000000000001,0.0,12.83,0.0,0.43700000000000006,6.2860000000000005,45.0,4.5026,5.0,398.0,18.7,383.23,8.94,21.4
0.13554000000000002,12.5,6.07,0.0,0.409,5.593999999999999,36.8,6.497999999999999,4.0,345.0,18.9,396.9,13.09,17.4
0.16211,20.0,6.96,0.0,0.46399999999999997,6.24,16.3,4.428999999999999,3.0,223.0,18.6,396.9,6.59,25.2
8.792119999999999,0.0,18.1,0.0,0.584,5.565,70.6,2.0635,24.0,666.0,20.2,3.65,17.16,11.7
0.25356,0.0,9.9,0.0,0.544,5.705,77.7,3.945,4.0,304.0,18.4,396.42,11.5,16.2
0.88125,0.0,21.89,0.0,0.624,5.6370000000000005,94.7,1.9799,4.0,437.0,21.2,396.9,18.34,14.3
73.5341,0.0,18.1,0.0,0.679,5.957000000000001,100.0,1.8026,24.0,666.0,20.2,16.45,20.62,8.8
0.1396,0.0,8.56,0.0,0.52,6.167000000000001,90.0,2.421,5.0,384.0,20.9,392.69,12.33,20.1
0.26363000000000003,0.0,8.56,0.0,0.52,6.229,91.2,2.5451,5.0,384.0,20.9,391.23,15.55,19.4
0.12082999999999999,0.0,2.89,0.0,0.445,8.068999999999999,76.0,3.4952,2.0,276.0,18.0,396.9,4.21,38.7
0.35114,0.0,7.38,0.0,0.493,6.041,49.9,4.7211,5.0,287.0,19.6,396.9,7.7,20.4
0.05644,40.0,6.41,1.0,0.447,6.757999999999999,32.9,4.0776,4.0,254.0,17.6,396.9,3.53,32.4
0.80271,0.0,8.14,0.0,0.5379999999999999,5.456,36.6,3.7965,4.0,307.0,21.0,288.99,11.69,20.2
9.91655,0.0,18.1,0.0,0.693,5.852,77.8,1.5004,24.0,666.0,20.2,338.16,29.97,6.3
0.04113,25.0,4.86,0.0,0.426,6.727,33.5,5.4007,4.0,281.0,19.0,396.9,5.29,28.0
1.2074200000000002,0.0,19.58,0.0,0.605,5.875,94.6,2.4259,5.0,403.0,14.7,292.29,14.43,17.4
1.4250200000000002,0.0,19.58,0.0,0.871,6.51,100.0,1.7659,5.0,403.0,14.7,364.31,7.39,23.3
0.34109,0.0,7.38,0.0,0.493,6.415,40.1,4.7211,5.0,287.0,19.6,396.9,6.12,25.0
0.20608,22.0,5.86,0.0,0.431,5.593,76.5,7.9549,7.0,330.0,19.1,372.49,12.5,17.6
